device_id,checkout_time,checkout_status,trial_converted
be6-8d92a4-15483,1552143419,trial_started,1
be6-8d92a4-0a029,1552484038,trial_started,1
be6-8d92a4-0a851,1552589881,trial_started,1
be6-8d92a4-13f97,1553835408,trial_started,1
be6-8d92a4-1269e,1551980300,trial_started,1
be6-8d92a4-24ab2,1552154042,trial_started,1
be6-8d92a4-09582,1552459653,trial_started,1
be6-8d92a4-1291f,1552621119,trial_started,1
be6-8d92a4-0c838,1553262990,trial_started,1
be6-8d92a4-06952,1552057742,trial_started,1
be6-8d92a4-1634a,1552226740,trial_started,1
be6-8d92a4-1791b,1552665511,trial_started,1
be6-8d92a4-03420,1552747016,trial_started,1
be6-8d92a4-07b4f,1552948351,trial_started,1
be6-8d92a4-049aa,1552492868,trial_started,1
be6-8d92a4-1d21e,1551661275,trial_started,1
be6-8d92a4-00d03,1551563793,trial_started,1
be6-8d92a4-05ed9,1551590535,trial_started,1
be6-8d92a4-10f02,1551745216,trial_started,1
be6-8d92a4-093bf,1552067111,trial_started,1
be6-8d92a4-0419e,1552446234,trial_started,1
be6-8d92a4-1cf92,1552516118,trial_started,1
be6-8d92a4-05434,1552430293,trial_started,1
be6-8d92a4-0b11b,1551471305,trial_started,1
be6-8d92a4-1737f,1551513350,trial_started,1
be6-8d92a4-026c4,1551668338,trial_started,1
be6-8d92a4-19eef,1552143651,trial_started,1
be6-8d92a4-2351a,1552400117,trial_started,1
be6-8d92a4-2185e,1552531545,trial_started,1
be6-8d92a4-22559,1552568027,trial_started,1
be6-8d92a4-1f8f6,1553048313,trial_started,1
be6-8d92a4-15e43,1552832242,trial_started,1
be6-8d92a4-110ee,1551972496,trial_started,1
be6-8d92a4-15f28,1553577621,trial_started,1
be6-8d92a4-24cf1,1552573329,trial_started,1
be6-8d92a4-0821f,1552660106,trial_started,1
be6-8d92a4-0b0c9,1553433950,trial_started,1
be6-8d92a4-0004d,1553810625,trial_started,1
be6-8d92a4-0370a,1551915526,trial_started,1
be6-8d92a4-1dc63,1552135584,trial_started,1
be6-8d92a4-14961,1552349051,trial_started,1
be6-8d92a4-14edc,1552434887,trial_started,1
be6-8d92a4-15ead,1553108361,trial_started,1
be6-8d92a4-0ca3c,1553116003,trial_started,1
be6-8d92a4-12bc1,1551761292,trial_started,1
